A	B	C	D	E	F
1	2404230000	1230090000	1188010000	2274610000	1032400000	1776410000
2	295546546.92	187267622.9	179560514.56	253631845.58	109538384.25	191828125.18
1224	119439000	79199400	78416800	111742000	44098200	86347700
2037	118580312.22	85995363.9	75340456.03	106923558.31	42150074.07	74854922.6
356	68408514.97	41656274.01	36788800.14	79669403.79	23017466.41	49708792.05
80840	44410043.27	27564516.65	36451703.97	58969657.99	22626377.45	48571116.77
28211	48523774.83	28430897.59	27726930.68	43765860.58	17300274.22	32058528.81
976	31847476.96	15724529.48	11204183.16	20078375.38	9103503.97	20587400.07
72274	9139289.86	33093574.28	25668813.52	8047396.23	3460052.93	4253980.05
135614	12928593.47	7530770.31	8276635.65	9591718.28	4366263.03	9348403.61
1236	7505655.68	18280252.19	12311950.68	4911129.97	2473441.91	4267236.18
1760	11930413.87	9702037.02	7846607.3	8793717.45	4211921.88	6555612.62
204457	10627881.74	5380146.33	7048534.86	9487346.03	4866997.01	9337173.73
200666	12962500.44	6678621.29	4409798.68	7342969.61	3257971.7	6866907.18
28216	9187116.73	5027859.02	5736623.99	9373029.71	3491294.95	7453497.02
200644	10163989.58	4825401.19	2891371.52	6203951.9	3544732.35	6023690.11
29	9163585.41	4536484.46	3410597.28	7004744	2512835.61	6789700.03
204458	5251001.95	4649302.5	3126947.31	4352847.91	2808788.26	4443374.37
768507	5340856.38	3027169.35	2106234.58	3552723.76	1346368.63	4956730.98
1385	6280607.34	2964894	2331679.54	3707854.01	1220132.17	2595829.84
112	4338835.21	2027173.31	1963805.28	3572477.76	1421505.2	2231678.83
57723	2369508.59	1213911.38	1040792.85	2343101.98	918365.4	1410558.29
74201	2644400	1103720	1398990	1858060	810113	1336210
91347	477547.76	660132.22	6675381.69	139036.11	83840.42	148347.31
1239	1927530	910825	667336	1026660	357407	692813
204455	948094.58	678377.85	633192.3	1045371.37	355261.82	762859.38
588673	1070630.8	680305.7	611203	868665.8	395519.2	564163.3
414999	762836.76	705741.21	597382.66	910817.72	452498.81	736971.98
28221	965114.94	413705.4	404667.71	869995.34	346456.16	636893.92
204441	722158.98	322819.74	322119.36	773802.64	283341.83	458942.83
32064	453510.3	186881.67	224683.71	927565.01	225313.89	427384.26
117743	668467	363946	223856	379697	240451	382131
171549	633807.74	281375.64	220575.91	435497.85	211690.36	400035.19
200795	514019	258959	250929	488480	175762	285103
1117	549249	323664	227098	396960	187856	275403
186802	617958.94	273238.62	221572.63	328526.09	122273.34	230229.55
204433	475586.24	233091.94	199613.77	459615.03	162339.17	239297.33
48461	522418.67	227565.91	295990.03	280506.2	113780.74	206228.5
332160	362054	191678	168456	329405	152952	217907
135613	281080.24	335207.85	203758.49	153056.51	51833.04	100360.32
32003	345699.43	108966.31	179537.41	180226.92	64687.97	125949.28
1161	363873.76	188197.15	118879.75	138090.24	57314.97	100409.31
91061	312355	143037	115562	164576	60377.7	126104
135622	124012.39	353129.93	180946.1	79337.96	37487.14	63153.36
51291	207039.14	110872.97	78011.63	187665.55	71166.16	159155.51
2157	273292	79715.8	71319.4	160613	49170.5	115236
32061	188503	70395.8	100145	208290	58970.8	118983
189778	208236.26	86177.49	100155.9	124129.3	53829.41	91539
651137	208360	75244.9	53945.6	136080	52945.6	92189.1
206389	165243.52	76955.64	71799.05	139804.62	51460.05	86981.14
69541	163656.32	69011.88	66924.01	113885.46	45510.02	75232.83
203682	124098	62162.1	57303.4	98887.7	49498.4	75525.4
118969	72457.57	24481.88	31302.71	125146.79	40187.04	120491.29
189775	109698	61903.1	53726.2	67689.8	27950.6	41267.8
388448	89583.7	50101.6	40854.7	92493.8	35018.3	52929.3
186801	126353	48297.3	37529.8	68238.5	22153.5	49565.5
134549	89324	40713.4	44958.9	86222.3	34228.1	56298.7
219686	95596.8	46495.3	53870.6	68494.3	31339.3	45066.4
213115	77133.92	43596.15	43761.45	78596.13	34787.76	53131.03
206350	181976.12	32400.61	27750.21	44682.7	16599.51	22075.45
118964	56541.15	46161.72	40879.1	58595.54	21794.78	61701.54
188787	62556.5	40623.4	35859.4	52845.1	25724.1	38465.1
94695	92747.7	36524.72	36634.37	32338.24	12434.1	28538.58
85001	61019	34216.71	33578.35	42002.89	12967.76	25790.71
2235	51662.07	29507.87	24279.08	46409.38	24205	31207.67
1118	49279.81	21428.98	25029.31	52801.11	17576.44	28108.17
136	60061.24	13555.01	17019.3	41988.15	13125.04	35351.98
84999	108104.65	15571.31	12859.95	14642.81	9545.75	8467.94
28890	40833.1	18931.8	23964.7	37901.2	14635.6	31069.8
135618	41545.74	11549.89	19761.01	39903.41	17788.6	27065.53
191411	40548.02	20455.45	20512.19	31683.45	12675.63	21834.4
68933	43224.91	18230.57	14879.2	34781.69	12869.26	21065.84
1100069	38038.27	15585.47	13758.06	26650.69	14120.64	19566.33
206351	24982.6	10839.43	22892.8	31136.38	10884.93	20916.55
1150	23252.92	11114.11	7849.16	37898.98	13849.54	18648.65
186826	28144.97	14915.41	12149.82	26346.85	11064.51	14998.25
909929	29064.99	14211.38	11828.39	23877.11	8386.43	16360.37
31932	28921.61	12930.25	9028.48	19224.57	6274.33	13663.92
766	29700.77	4266.61	8641.54	22957.43	3749.79	18678.49
135623	30356.13	7348.95	9148.05	11970.19	5564.01	7241.44
213481	19246.5	3501.22	11337.65	11518.17	5248.96	15208.78
85004	23523.11	15295.74	10015.04	5576.45	4717.66	5390.9
135619	10359.7	19486	11659.03	10292.15	5105.96	6917
224756	17748	6452.76	7736.27	16058	5566.36	9432.36
713636	14126.32	6094.97	7981.94	8299.57	6797.73	8008.96
189772	10386.4	2887.71	9724.42	14233.6	4233.11	5886.02
649776	7943.8	5381.86	5225.1	8670.83	4099.06	5002.16
2191	8792.63	4783.2	4317.04	8570.06	3020.16	4298.06
135624	2076.2	2255.02	18468.65	5546.44	635.84	2716.55
68295	12128.57	4169.46	3080.76	6183.43	1704.37	3286.07
307595	6696.51	5032.31	2507.11	7260.83	3093.49	4785.48
72273	6586.06	4728.54	3109.85	7367.95	1465.39	4283.82
213118	7630.69	3048.35	3759.95	7282.13	1577.37	2609.89
574975	1153.04	23398.3	187.45	890.12	0	0
213462	6164.84	4221.24	2470.03	5563.59	2043.68	3983.54
32069	14122.64	2442.06	1608.63	3413.67	1636.92	1132.34
213849	8879.87	2226.26	3113.28	4441.42	2674.4	2436.49
225057	6430.97	4174.27	2922.03	4892.14	1896.35	2522.97
183924	6411.23	1223.27	1507.91	4502.79	706.49	5676.48
29547	7357.48	1974.63	1909.97	3496.78	1133.86	1495.01
256845	3448.03	2906.21	3481.45	3478.98	1774.72	2275.48
570264	5395.88	2265.38	2205.76	1619.36	1980.55	2326.09
135625	2755.73	718.18	6155.45	2450.49	512.17	2178.89
475963	2543.23	1092.23	324.17	5815.43	1162.72	3027.94
666506	5026.81	2198.73	2007.93	1843.45	995.1	932.78
301297	3397.58	957.06	1326.17	2980.98	877.38	1972.78
203491	2039.41	971.3	1264.57	4789.9	673.31	1220.34
526525	2155	2727.3	2096.1	1580.05	174	1584.25
2419	2609.02	394.24	1072	2686.97	1055.9	1786.89
795748	2471.03	1672.25	873.52	2616.55	987.2	623.08
135615	4204.72	195.3	197.6	1463.64	2984.45	0
292629	2243.03	0	1460.13	2518.55	1166.33	1406.08
415001	454.4	3373.74	3642.17	934.13	0	142.78
53433	2319.04	397.09	593.11	2066.57	189.05	576.69
84996	1144.27	635.5	1135.82	1180.34	258.72	178.35
2258	2321.05	333.27	293.39	524.95	352.32	176
278081	1441.42	379.29	657.35	510.1	197.2	396.37
189776	1194.51	196.85	238.56	442.34	693.98	659.48
2281	1390.4	0	548.8	764.06	0	188.16
84993	253.84	196.68	915.48	307.03	140.97	1072.34
580371	1373.08	575.6	532.72	318.24	0	0
453227	219.42	738.93	526.4	141.36	562.02	538.48
205948	603.25	355.3	290.25	624.79	197.22	551.74
218872	2199.14	118.8	0	195.88	0	0
2182	1340.27	384.61	0	436.03	0	347.82
2158	590.65	198.4	573.06	487.33	0	614.55
191393	694.19	336.3	317.44	526.2	0	564.86
2266	474.46	0	302.5	591.9	0	887.11
114380	257.18	394.67	895.92	160.08	0	358.7
2085	184.37	333.53	198.24	726.26	0	566.75
1212	715.73	517.97	142	0	333.66	0
74152	387.7	161.82	357.14	459.1	0	198.36
119069	771.4	0	0	220.89	0	534.55
1189	0	460.11	0	758.7	0	198
2301	796.67	0	0	356.36	0	189.09
2231	712.13	377.54	0	0	0	0
235899	570.22	0	0	184	198.45	0
471822	395.62	0	0	198.24	196.42	0
717963	124.46	132.66	197.5	143.64	0	112.8
186329	0	171.36	0	488.91	0	0
265317	0	198.45	0	0	0	403.87
31969	198.24	0	198.12	0	0	197.37
1202465	0	0	54.18	153.23	0	281.15
1191478	198.45	0	176	0	0	0
742030	160.2	0	175.5	0	0	0
255473	0	0	0	0	292	0
203487	0	0	0	0	0	198.32
641854	0	0	0	170.28	0	0
