R_AtSha16G	R_AtSha17G	R_AtSha18G	AtSha3G	Bulk1G	Bulk2G	Bulk3G	Bulk16G	Bulk17G	Bulk18G	AtLer17G	AtLer18G	AtSha16G	AtLer16G	AtSha17G	AtSha18G	AtLer4G	AtLer5G	AtLer6G	Bulk4G	Bulk5G	Bulk6G	R_AtLer5G	R_AtLer6G	AtLer34G	AtLer36G	AtSha34G	AtSha36G	R_AtLer34G	R_AtLer35G
OTU9	1185	2482	676	0	41	7	14	9	41	35	42	0	116	104	203	19	49	25	13	18	38	61	247	129	344	11	433	135	198	139
OTU641	2	0	0	0	7	0	8	0	2	3	0	0	0	0	0	0	0	0	0	2	11	1	0	0	0	0	0	1	2	4
OTU34	0	0	2	62	1	0	0	10	0	5	114	154	126	222	393	67	37	13	337	0	2	0	1	1	27	80	43	65	0	2
OTU354	0	0	0	2	0	9	0	11	4	1	6	4	3	8	2	11	0	0	0	1	5	1	0	1	0	0	1	0	0	0
OTU25	78	97	38	3	738	98	689	23	169	162	21	10	0	36	0	9	1	0	1	88	48	60	63	43	0	0	8	20	102	129
OTU387	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0
OTU273	23	0	0	0	1	0	0	0	1	1	0	0	0	4	17	0	0	0	0	1	4	1	0	0	0	0	0	0	0	0
OTU927	6	8	9	2	61	19	53	0	3	15	13	16	0	10	30	0	4	0	0	25	31	11	2	3	58	0	16	1	31	63
OTU619	1	0	5	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	4	2
OTU67	7	16	7	0	105	19	116	1	17	24	0	0	0	37	0	21	0	0	0	3	8	4	0	2	0	0	0	0	1	9
OTU850	0	0	1	0	0	0	0	17	2	4	0	0	2	1	57	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0
OTU918	0	0	0	0	0	2	0	0	0	0	2	0	0	0	1	10	0	0	0	5	0	0	0	0	0	0	0	0	0	0
OTU233	0	0	0	5	0	19	0	0	0	0	4	7	3	0	0	53	0	0	0	3	1	0	1	1	0	0	0	0	0	0
OTU161	6	5	5	0	26	8	30	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU1	0	0	0	95	0	0	1	5	1	1	61	76	185	137	296	65	516	1750	6205	0	2	0	0	15	2303	1378	502	384	29	1
OTU17	90	68	14	20	27	3	29	14	39	113	16	0	79	36	123	16	191	86	54	146	85	130	61	48	291	3	141	44	99	126
OTU276	3	1	0	0	0	0	7	0	0	0	0	0	21	17	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
OTU191	0	0	17	0	0	87	1	0	10	7	12	4	0	0	2	15	0	0	0	13	21	1	0	0	0	0	0	4	0	1
OTU186	0	0	0	3	0	0	0	0	1	0	13	0	43	3	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0
OTU7	96	72	13	0	4	0	3	4	16	45	28	37	56	171	5544	0	21	276	7	89	56	53	144	35	14	2	14	0	4	19
OTU190	0	0	6	6	1	53	0	1	0	1	20	37	10	1	13	130	0	0	0	10	12	3	0	2	6	0	1	0	0	1
OTU15	552	255	102	0	172	14	101	5	69	72	45	32	124	41	57	18	39	16	12	526	283	249	186	169	2	1	129	28	343	479
OTU244	0	0	10	0	0	8	0	0	0	0	2	1	0	0	6	7	0	0	0	0	4	0	0	0	0	0	0	0	0	2
OTU141	7	2	0	0	0	0	0	0	0	1	0	1	25	2	7	76	3	0	8	0	2	0	1	17	39	5	4	5	2	1
OTU163	0	0	0	0	0	4	1	0	0	0	17	16	0	0	17	0	0	0	0	4	12	0	0	0	0	0	1	0	0	0
OTU225	0	0	0	2	0	6	0	0	0	1	6	38	0	0	5	39	0	0	0	8	5	1	0	0	0	0	0	0	0	0
OTU131	0	0	0	3	0	2	0	10	1	16	12	29	99	36	108	11	0	0	9	2	0	0	0	1	0	3	1	5	13	0
OTU4	0	0	0	1323	0	3	0	0	1	1	1123	2458	1118	262	838	6618	37	6	7	7	5	0	0	0	34	1	40	45	0	0
OTU105	1	0	0	0	37	5	17	0	9	6	0	0	0	0	0	0	0	0	0	0	2	4	1	1	0	0	13	0	39	48
OTU854	79	55	36	0	35	2	24	1	25	34	4	2	40	2	2	5	6	4	0	43	30	23	19	20	0	0	4	0	57	47
OTU457	0	0	7	0	1	24	0	0	0	0	0	2	0	0	2	2	0	0	0	5	12	0	0	1	0	0	0	0	0	0
OTU1072	1	0	0	0	28	6	39	1	5	15	0	0	0	0	0	0	0	0	0	6	3	1	0	5	0	0	0	0	7	8
OTU307	2	0	1	0	1	1	2	13	7	4	0	0	0	0	33	0	6	0	1	6	3	3	1	1	0	0	9	0	0	2
OTU405	0	0	0	3	1	0	1	25	2	2	2	1	19	2	29	3	0	0	3	2	4	1	0	0	0	0	0	5	0	0
OTU1421	0	0	0	0	1	29	0	3	1	0	1	12	0	3	0	9	0	0	0	8	4	2	0	0	0	0	0	0	0	0
OTU294	0	0	2	0	1	22	0	0	1	0	4	11	0	0	0	9	0	0	0	16	20	1	1	0	0	0	2	3	0	0
OTU1094	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU237	1	2	0	0	4	1	0	43	4	4	0	0	0	0	84	0	6	0	4	4	3	1	0	3	0	0	0	10	1	3
OTU491	0	0	0	0	1	1	1	14	0	3	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	3	0	0	0	0
OTU139	0	0	0	7	3	23	0	1	0	0	47	17	4	1	0	54	0	0	2	2	2	0	0	0	0	0	0	0	0	0
OTU959	0	0	0	0	0	2	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1433	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	3	0	0
OTU338	0	0	0	1	1	1	0	10	0	5	0	3	0	0	7	1	0	0	0	2	0	1	0	4	0	1	0	0	0	0
OTU118	0	0	0	0	2	5	0	0	0	0	50	23	11	6	13	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU90	0	0	0	61	0	35	0	0	0	2	100	76	52	11	13	204	0	0	0	1	0	0	0	0	4	0	7	6	0	0
OTU5	0	0	1	594	0	3	0	1	4	1	1477	3482	1081	400	1324	6235	68	48	22	3	8	1	0	1	520	17	215	46	1	1
OTU426	0	1	0	0	0	0	2	15	1	2	5	8	23	11	54	5	4	9	11	6	0	2	1	4	1	1	2	0	2	0
OTU70	25	29	8	0	154	36	130	9	36	59	0	0	0	13	0	1	0	0	0	1	8	2	1	0	0	0	0	0	2	1
OTU115	6	1	2	0	1	0	0	130	7	8	0	0	0	3	79	0	1	0	3	8	7	6	1	7	0	0	0	0	7	1
OTU513	1	0	0	16	0	0	0	3	0	1	56	20	106	190	131	18	28	20	520	1	0	0	0	8	165	48	4	41	5	0
