Sample_ID	Compartment	Genotype	Site	Dig	after_Depletion_of_Chloroflexi
R_AtLer20K	Rhizosphere	Ler	Cologne	K2	deleted
R_AtLer3K	Rhizosphere	Ler	Cologne	K2	retained
R_AtLer4K	Rhizosphere	Ler	Cologne	K2	retained
R_AtLer21K	Rhizosphere	Ler	Cologne	K2	retained
R_AtSha19K20K	Rhizosphere	Sha	Cologne	K2	combined
R_AtSha3K	Rhizosphere	Sha	Cologne	K2	deleted
R_AtSha20K	Rhizosphere	Sha	Cologne	K2	pooled with R_AtSha19K
R_AtSha19K	Rhizosphere	Sha	Cologne	K2	pooled with R_AtSha20K
R_AtSha4K	Rhizosphere	Sha	Cologne	K2	retained
R_AtSha21K	Rhizosphere	Sha	Cologne	K2	retained
AtLer3K	Root	Ler	Cologne	K2	retained
AtLer4K	Root	Ler	Cologne	K2	retained
AtLer19K	Root	Ler	Cologne	K2	retained
AtLer20K	Root	Ler	Cologne	K2	retained
AtLer21K	Root	Ler	Cologne	K2	retained
AtSha3K	Root	Sha	Cologne	K2	retained
AtSha4K	Root	Sha	Cologne	K2	retained
AtSha19K	Root	Sha	Cologne	K2	retained
AtSha20K	Root	Sha	Cologne	K2	retained
AtSha21K	Root	Sha	Cologne	K2	retained
Bulk3K	Soil	Soil	Cologne	K2	retained
Bulk4K	Soil	Soil	Cologne	K2	retained
Bulk19K	Soil	Soil	Cologne	K2	retained
Bulk20K	Soil	Soil	Cologne	K2	retained
Bulk21K	Soil	Soil	Cologne	K2	retained
Betula76K	Wood	Betula	Cologne	K2	retained
Betula77K	Wood	Betula	Cologne	K2	retained
Betula78K	Wood	Betula	Cologne	K2	retained
R_AtLer15K	Rhizosphere	Ler	Cologne	K3	deleted
R_AtLer25K	Rhizosphere	Ler	Cologne	K3	retained
R_AtLer26K	Rhizosphere	Ler	Cologne	K3	retained
R_AtLer27K	Rhizosphere	Ler	Cologne	K3	retained
R_AtSha13K	Rhizosphere	Sha	Cologne	K3	deleted
R_AtSha14K	Rhizosphere	Sha	Cologne	K3	deleted
AtLer14K	Root	Ler	Cologne	K3	retained
AtLer15K	Root	Ler	Cologne	K3	retained
AtLer25K	Root	Ler	Cologne	K3	retained
AtLer26K	Root	Ler	Cologne	K3	retained
AtLer27K	Root	Ler	Cologne	K3	retained
AtSha13K	Root	Sha	Cologne	K3	retained
AtSha14K	Root	Sha	Cologne	K3	retained
AtSha15K	Root	Sha	Cologne	K3	retained
Bulk1K	Soil	Soil	Cologne	K3	deleted
Bulk2K	Soil	Soil	Cologne	K3	retained
Bulk5K	Soil	Soil	Cologne	K3	retained
Bulk13K	Soil	Soil	Cologne	K3	retained
Bulk14K	Soil	Soil	Cologne	K3	retained
Bulk25K	Soil	Soil	Cologne	K3	retained
Bulk28K	Soil	Soil	Cologne	K3	retained
Bulk29K	Soil	Soil	Cologne	K3	retained
Betula15K	Wood	Betula	Cologne	K3	retained
Betula16K	Wood	Betula	Cologne	K3	retained
Betula1K	Wood	Betula	Cologne	K3	retained
Betula2K	Wood	Betula	Cologne	K3	retained
Fagus5K	Wood	Fagus	Cologne	K3	retained
Fagus6K	Wood	Fagus	Cologne	K3	retained
Fagus7K	Wood	Fagus	Cologne	K3	retained
Betula17K	Wood	Betula	Cologne	K4	retained
Fagus8K	Wood	Fagus	Cologne	K4	retained
R_AtLer17G18G	Rhizosphere	Ler	Golm	G1	combined
R_AtLer18G	Rhizosphere	Ler	Golm	G1	pooled with R_AtLer17G
R_AtLer17G	Rhizosphere	Ler	Golm	G1	pooled with R_AtLer18G
R_AtSha16G	Rhizosphere	Sha	Golm	G1	retained
R_AtSha17G	Rhizosphere	Sha	Golm	G1	retained
R_AtSha18G	Rhizosphere	Sha	Golm	G1	retained
AtLer17G	Root	Ler	Golm	G1	retained
AtLer18G	Root	Ler	Golm	G1	retained
AtLer16G	Root	Ler	Golm	G1	retained
AtSha3G	Root	Sha	Golm	G1	retained
AtSha16G	Root	Sha	Golm	G1	retained
AtSha17G	Root	Sha	Golm	G1	retained
AtSha18G	Root	Sha	Golm	G1	retained
Bulk1G	Soil	Soil	Golm	G1	retained
Bulk2G	Soil	Soil	Golm	G1	retained
Bulk3G	Soil	Soil	Golm	G1	retained
Bulk16G	Soil	Soil	Golm	G1	retained
Bulk17G	Soil	Soil	Golm	G1	retained
Bulk18G	Soil	Soil	Golm	G1	retained
Betula10G	Wood	Betula	Golm	G1	retained
Betula11G	Wood	Betula	Golm	G1	retained
Betula12G	Wood	Betula	Golm	G1	retained
Betula3G	Wood	Betula	Golm	G1	retained
Betula4G	Wood	Betula	Golm	G1	retained
Fagus1G	Wood	Fagus	Golm	G1	retained
Fagus2G	Wood	Fagus	Golm	G1	retained
Fagus3G	Wood	Fagus	Golm	G1	retained
R_AtLer4G	Rhizosphere	Ler	Golm	G2	retained
R_AtLer5G	Rhizosphere	Ler	Golm	G2	retained
R_AtLer6G	Rhizosphere	Ler	Golm	G2	retained
R_AtLer34G	Rhizosphere	Ler	Golm	G2	retained
R_AtLer35G	Rhizosphere	Ler	Golm	G2	retained
R_AtLer36G	Rhizosphere	Ler	Golm	G2	retained
R_AtSha34G	Rhizosphere	Sha	Golm	G2	deleted
AtLer4G	Root	Ler	Golm	G2	retained
AtLer5G	Root	Ler	Golm	G2	retained
AtLer6G	Root	Ler	Golm	G2	retained
AtLer34G	Root	Ler	Golm	G2	retained
AtLer36G	Root	Ler	Golm	G2	retained
AtSha34G	Root	Sha	Golm	G2	retained
AtSha36G	Root	Sha	Golm	G2	retained
Bulk35G36G	Soil	Soil	Golm	G2	combined
Bulk7G	Soil	Soil	Golm	G2	deleted
Bulk36G	Soil	Soil	Golm	G2	pooled with Bulk35G
Bulk35G	Soil	Soil	Golm	G2	pooled with Bulk36G
Bulk5G	Soil	Soil	Golm	G2	retained
Bulk6G	Soil	Soil	Golm	G2	retained
Bulk4G	Soil	Soil	Golm	G2	retained
Betula13G	Wood	Betula	Golm	G2	retained
Betula14G	Wood	Betula	Golm	G2	retained
Betula35G	Wood	Betula	Golm	G2	retained
Betula36G	Wood	Betula	Golm	G2	retained
Betula42G	Wood	Betula	Golm	G2	retained
Betula40G	Wood	Betula	Golm	G2	retained
Fagus4G	Wood	Fagus	Golm	G2	retained
R_AtWild1	Rhizosphere	Pul	naturalsite	N1	retained
R_AtWild2	Rhizosphere	Pul	naturalsite	N1	retained
R_AtWild3	Rhizosphere	Pul	naturalsite	N1	retained
AtWild3	Root	Pul	naturalsite	N1	deleted
AtWild1	Root	Pul	naturalsite	N1	retained
AtWild2	Root	Pul	naturalsite	N1	retained
Bulk1Wild	Soil	Soil	naturalsite	N1	retained
Bulk2Wild	Soil	Soil	naturalsite	N1	retained
Bulk3Wild	Soil	Soil	naturalsite	N1	retained
