TIGR00001;rpmI_bact: ribosomal protein L35
TIGR00002;S16: ribosomal protein S16
TIGR00003;TIGR00003: copper ion binding protein
TIGR00004;TIGR00004: reactive intermediate/imine deaminase
TIGR00005;rluA_subfam: pseudouridine synthase, RluA family
TIGR00006;TIGR00006: 16S rRNA (cytosine(1402)-N(4))-methyltransferase
TIGR00007;TIGR00007: 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase
TIGR00008;infA: translation initiation factor IF-1
TIGR00009;L28: ribosomal protein L28
TIGR00010;TIGR00010: hydrolase, TatD family
TIGR00011;YbaK_EbsC: Cys-tRNA(Pro) deacylase
TIGR00012;L29: ribosomal protein L29
TIGR00013;taut: 4-oxalocrotonate tautomerase family enzyme
TIGR00014;arsC: arsenate reductase (glutaredoxin)
TIGR00016;ackA: acetate kinase
TIGR00017;cmk: cytidylate kinase
TIGR00018;panC: pantoate--beta-alanine ligase
TIGR00019;prfA: peptide chain release factor 1
TIGR00020;prfB: peptide chain release factor 2
TIGR00021;rpiA: ribose 5-phosphate isomerase A
TIGR00022;TIGR00022: uncharacterized protein, YhcH/YjgK/YiaL family
TIGR00023;TIGR00023: acyl-phosphate glycerol 3-phosphate acyltransferase
TIGR00024;SbcD_rel_arch: putative phosphoesterase
TIGR00025;Mtu_efflux: ABC transporter efflux protein, DrrB family
TIGR00026;hi_GC_TIGR00026: deazaflavin-dependent oxidoreductase, nitroreductase family
TIGR00027;mthyl_TIGR00027: methyltransferase, TIGR00027 family
TIGR00028;Mtu_PIN_fam: Mycobacterium tuberculosis PIN domain family
TIGR00029;S20: ribosomal protein S20
TIGR00030;S21p: ribosomal protein S21
TIGR00031;UDP-GALP_mutase: UDP-galactopyranose mutase
TIGR00032;argG: argininosuccinate synthase
TIGR00033;aroC: chorismate synthase
TIGR00034;aroFGH: 3-deoxy-7-phosphoheptulonate synthase
TIGR00035;asp_race: aspartate racemase
TIGR00036;dapB: dihydrodipicolinate reductase
TIGR00037;eIF_5A: translation elongation factor IF5A
TIGR00038;efp: translation elongation factor P
TIGR00039;6PTHBS: 6-pyruvoyl tetrahydropterin synthase/QueD family protein
TIGR00040;yfcE: phosphodiesterase, MJ0936 family
TIGR00041;DTMP_kinase: thymidylate kinase
TIGR00042;TIGR00042: non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family
TIGR00043;TIGR00043: probable rRNA maturation factor YbeY
TIGR00044;TIGR00044: pyridoxal phosphate enzyme, YggS family
TIGR00045;TIGR00045: glycerate kinase
TIGR00046;TIGR00046: RNA methyltransferase, RsmE family
TIGR00048;TIGR00048: 23S rRNA m2A2503 methyltransferase
TIGR00049;TIGR00049: iron-sulfur cluster assembly accessory protein
TIGR00050;rRNA_methyl_1: RNA methyltransferase, TrmH family, group 1
TIGR00051;TIGR00051: acyl-CoA thioester hydrolase, YbgC/YbaW family
TIGR00052;TIGR00052: nudix-type nucleoside diphosphatase, YffH/AdpP family
TIGR00053;TIGR00053: addiction module toxin component, YafQ family
TIGR00054;TIGR00054: RIP metalloprotease RseP
TIGR00055;uppS: di-trans,poly-cis-decaprenylcistransferase
TIGR00056;TIGR00056: conserved hypothetical protein
TIGR00057;TIGR00057: tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family
TIGR00058;Hemerythrin: hemerythrin family non-heme iron protein
TIGR00059;L17: ribosomal protein L17
TIGR00060;L18_bact: ribosomal protein L18
TIGR00061;L21: ribosomal protein L21
TIGR00062;L27: ribosomal protein L27
TIGR00063;folE: GTP cyclohydrolase I
TIGR00064;ftsY: signal recognition particle-docking protein FtsY
TIGR00065;ftsZ: cell division protein FtsZ
TIGR00066;g_glut_trans: gamma-glutamyltransferase
TIGR00067;glut_race: glutamate racemase
TIGR00068;glyox_I: lactoylglutathione lyase
TIGR00069;hisD: histidinol dehydrogenase
TIGR00070;hisG: ATP phosphoribosyltransferase
TIGR00071;hisT_truA: tRNA pseudouridine(38-40) synthase
TIGR00072;hydrog_prot: hydrogenase maturation protease
TIGR00073;hypB: hydrogenase accessory protein HypB
TIGR00074;hypC_hupF: hydrogenase assembly chaperone HypC/HupF
TIGR00075;hypD: hydrogenase expression/formation protein HypD
TIGR00077;lspA: signal peptidase II
TIGR00078;nadC: nicotinate-nucleotide diphosphorylase (carboxylating)
TIGR00079;pept_deformyl: peptide deformylase
TIGR00080;pimt: protein-L-isoaspartate O-methyltransferase
TIGR00081;purC: phosphoribosylaminoimidazolesuccinocarboxamide synthase
TIGR00082;rbfA: ribosome-binding factor A
TIGR00083;ribF: riboflavin biosynthesis protein RibF
TIGR00084;ruvA: Holliday junction DNA helicase RuvA
TIGR00086;smpB: SsrA-binding protein
TIGR00087;surE: 5'/3'-nucleotidase SurE
TIGR00088;trmD: tRNA (guanine(37)-N(1))-methyltransferase
TIGR00089;TIGR00089: radical SAM methylthiotransferase, MiaB/RimO family
TIGR00090;iojap_ybeB: iojap-like ribosome-associated protein
TIGR00091;TIGR00091: tRNA (guanine-N(7)-)-methyltransferase
TIGR00092;TIGR00092: GTP-binding protein YchF
TIGR00093;TIGR00093: pseudouridine synthase
TIGR00094;tRNA_TruD_broad: tRNA pseudouridine synthase, TruD family
TIGR00095;TIGR00095: RNA methyltransferase, RsmD family
TIGR00096;TIGR00096: putative S-adenosylmethionine-dependent methyltransferase, YraL family
TIGR00097;HMP-P_kinase: phosphomethylpyrimidine kinase
TIGR00099;Cof-subfamily: Cof-like hydrolase
TIGR00100;hypA: hydrogenase nickel insertion protein HypA
TIGR00101;ureG: urease accessory protein UreG
TIGR00103;DNA_YbaB_EbfC: DNA-binding protein, YbaB/EbfC family
TIGR00104;YaeB_AF0241: putative methyltransferase, YaeB/AF_0241 family
TIGR00105;L31: ribosomal protein L31
TIGR00106;TIGR00106: uncharacterized protein, MTH1187 family
TIGR00107;deoD: purine nucleoside phosphorylase
TIGR00109;hemH: ferrochelatase
TIGR00110;ilvD: dihydroxy-acid dehydratase
TIGR00111;pelota: mRNA surveillance protein pelota
TIGR00112;proC: pyrroline-5-carboxylate reductase
TIGR00113;queA: S-adenosylmethionine:tRNA ribosyltransferase-isomerase
TIGR00114;lumazine-synth: 6,7-dimethyl-8-ribityllumazine synthase
TIGR00115;tig: trigger factor
TIGR00116;tsf: translation elongation factor Ts
TIGR00117;acnB: aconitate hydratase 2
TIGR00118;acolac_lg: acetolactate synthase, large subunit, biosynthetic type
TIGR00119;acolac_sm: acetolactate synthase, small subunit
TIGR00120;ArgJ: glutamate N-acetyltransferase/amino-acid acetyltransferase
TIGR00121;birA_ligase: biotin--[acetyl-CoA-carboxylase] ligase
TIGR00122;birA_repr_reg: biotin operon repressor
TIGR00123;cbiM: cobalamin biosynthesis protein CbiM
TIGR00124;cit_ly_ligase: [citrate (pro-3S)-lyase] ligase
TIGR00125;cyt_tran_rel: cytidyltransferase-like domain
TIGR00126;deoC: deoxyribose-phosphate aldolase
TIGR00127;nadp_idh_euk: isocitrate dehydrogenase, NADP-dependent
TIGR00128;fabD: malonyl CoA-acyl carrier protein transacylase
TIGR00129;fdhD_narQ: formate dehydrogenase family accessory protein FdhD
TIGR00130;frhD: coenzyme F420-reducing hydrogenase, FrhD protein
TIGR00131;gal_kin: galactokinase
TIGR00132;gatA: aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, A subunit
TIGR00133;gatB: aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit
TIGR00134;gatE_arch: glutamyl-tRNA(Gln) amidotransferase, subunit E
TIGR00135;gatC: aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, C subunit
TIGR00136;gidA: tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
TIGR00137;gid_trmFO: tRNA:m(5)U-54 methyltransferase
TIGR00138;gidB: 16S rRNA (guanine(527)-N(7))-methyltransferase GidB
TIGR00139;h_aconitase: homoaconitase
TIGR00140;hupD: hydrogenase expression/formation protein
TIGR00142;hycI: hydrogenase maturation peptidase HycI
TIGR00143;hypF: carbamoyltransferase HypF
TIGR00144;beta_RFAP_syn: beta-ribofuranosylaminobenzene 5'-phosphate synthase family
TIGR00145;TIGR00145: FTR1 family protein
TIGR00147;TIGR00147: lipid kinase, YegS/Rv2252/BmrU family
TIGR00148;TIGR00148: UbiD family decarboxylase
TIGR00149;TIGR00149_YbjQ: secondary thiamine-phosphate synthase enzyme
TIGR00150;T6A_YjeE: tRNA threonylcarbamoyl adenosine modification protein YjeE
TIGR00151;ispF: 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
TIGR00152;TIGR00152: dephospho-CoA kinase
TIGR00153;TIGR00153: TIGR00153 family protein
TIGR00154;ispE: 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
TIGR00155;pqiA_fam: integral membrane protein, PqiA family
TIGR00156;TIGR00156: TIGR00156 family protein
TIGR00157;TIGR00157: ribosome small subunit-dependent GTPase A
TIGR00158;L9: ribosomal protein L9
TIGR00159;TIGR00159: TIGR00159 family protein
TIGR00160;MGSA: methylglyoxal synthase
TIGR00161;TIGR00161: TIGR00161 family protein
TIGR00162;TIGR00162: TIGR00162 family protein
TIGR00163;PS_decarb: phosphatidylserine decarboxylase
TIGR00164;PS_decarb_rel: phosphatidylserine decarboxylase homolog
TIGR00165;S18: ribosomal protein S18
TIGR00166;S6: ribosomal protein S6
TIGR00167;cbbA: ketose-bisphosphate aldolase
TIGR00168;infC: translation initiation factor IF-3
TIGR00169;leuB: 3-isopropylmalate dehydrogenase
TIGR00170;leuC: 3-isopropylmalate dehydratase, large subunit
TIGR00171;leuD: 3-isopropylmalate dehydratase, small subunit
TIGR00172;maf: septum formation protein Maf
TIGR00173;menD: 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase
TIGR00174;miaA: tRNA dimethylallyltransferase
TIGR00175;mito_nad_idh: isocitrate dehydrogenase, NAD-dependent
TIGR00176;mobB: molybdopterin-guanine dinucleotide biosynthesis protein B
TIGR00177;molyb_syn: molybdenum cofactor synthesis domain
TIGR00178;monomer_idh: isocitrate dehydrogenase, NADP-dependent
TIGR00179;murB: UDP-N-acetylenolpyruvoylglucosamine reductase
TIGR00180;parB_part: ParB/RepB/Spo0J family partition protein
TIGR00181;pepF: oligoendopeptidase F
TIGR00182;plsX: fatty acid/phospholipid synthesis protein PlsX
TIGR00183;prok_nadp_idh: isocitrate dehydrogenase, NADP-dependent
TIGR00184;purA: adenylosuccinate synthase
TIGR00185;tRNA_yibK_trmL: tRNA (cytidine(34)-2'-O)-methyltransferase
TIGR00186;rRNA_methyl_3: RNA methyltransferase, TrmH family, group 3
TIGR00187;ribE: riboflavin synthase, alpha subunit
TIGR00188;rnpA: ribonuclease P protein component
TIGR00189;tesB: acyl-CoA thioesterase II
TIGR00190;thiC: thiamine biosynthesis protein ThiC
TIGR00191;thrB: homoserine kinase
TIGR00192;urease_beta: urease, beta subunit
TIGR00193;urease_gam: urease, gamma subunit
TIGR00194;uvrC: excinuclease ABC subunit C
TIGR00195;exoDNase_III: exodeoxyribonuclease III
TIGR00196;yjeF_cterm: YjeF family C-terminal domain
TIGR00197;yjeF_nterm: YjeF family N-terminal domain
TIGR00198;cat_per_HPI: catalase/peroxidase HPI
TIGR00199;cinA_cterm: competence/damage-inducible protein CinA C-terminal domain
TIGR00200;cinA_nterm: competence/damage-inducible protein CinA N-terminal domain
TIGR00201;comF: comF family protein
TIGR00202;csrA: carbon storage regulator
TIGR00203;cydB: cytochrome d ubiquinol oxidase, subunit II
TIGR00204;dxs: 1-deoxy-D-xylulose-5-phosphate synthase
TIGR00205;fliE: flagellar hook-basal body complex protein FliE
TIGR00206;fliF: flagellar M-ring protein FliF
TIGR00207;fliG: flagellar motor switch protein FliG
TIGR00208;fliS: flagellar protein FliS
TIGR00209;galT_1: galactose-1-phosphate uridylyltransferase
TIGR00210;gltS: sodium/glutamate symporter
TIGR00211;glyS: glycine--tRNA ligase, beta subunit
TIGR00212;hemC: porphobilinogen deaminase
TIGR00213;GmhB_yaeD: D,D-heptose 1,7-bisphosphate phosphatase
TIGR00214;lipB: lipoyl(octanoyl) transferase
TIGR00215;lpxB: lipid-A-disaccharide synthase
TIGR00216;ispH_lytB: 4-hydroxy-3-methylbut-2-enyl diphosphate reductase
TIGR00217;malQ: 4-alpha-glucanotransferase
TIGR00218;manA: mannose-6-phosphate isomerase, class I
TIGR00219;mreC: rod shape-determining protein MreC
TIGR00220;mscL: large conductance mechanosensitive channel protein
TIGR00221;nagA: N-acetylglucosamine-6-phosphate deacetylase
TIGR00222;panB: 3-methyl-2-oxobutanoate hydroxymethyltransferase
TIGR00223;panD: aspartate 1-decarboxylase
TIGR00224;pckA: phosphoenolpyruvate carboxykinase (ATP)
TIGR00225;prc: C-terminal processing peptidase
TIGR00227;ribD_Cterm: riboflavin-specific deaminase C-terminal domain
TIGR00228;ruvC: crossover junction endodeoxyribonuclease RuvC
TIGR00229;sensory_box: PAS domain S-box protein
TIGR00230;sfsA: sugar fermentation stimulation protein
TIGR00231;small_GTP: small GTP-binding protein domain
TIGR00232;tktlase_bact: transketolase
TIGR00233;trpS: tryptophan--tRNA ligase
TIGR00234;tyrS: tyrosine--tRNA ligase
TIGR00235;udk: uridine kinase
TIGR00236;wecB: UDP-N-acetylglucosamine 2-epimerase
TIGR00237;xseA: exodeoxyribonuclease VII, large subunit
TIGR00238;TIGR00238: KamA family protein
TIGR00239;2oxo_dh_E1: oxoglutarate dehydrogenase (succinyl-transferring), E1 component
TIGR00240;ATCase_reg: aspartate carbamoyltransferase, regulatory subunit
TIGR00241;CoA_E_activ: putative CoA-substrate-specific enzyme activase
TIGR00242;TIGR00242: protein MraZ
TIGR00243;Dxr: 1-deoxy-D-xylulose 5-phosphate reductoisomerase
TIGR00244;TIGR00244: transcriptional regulator NrdR
TIGR00245;TIGR00245: TIGR00245 family protein
TIGR00246;tRNA_RlmH_YbeA: rRNA large subunit m3Psi methyltransferase RlmH
TIGR00247;TIGR00247: conserved hypothetical protein, YceG family
TIGR00249;sixA: phosphohistidine phosphatase SixA
TIGR00250;RNAse_H_YqgF: RNAse H domain protein, YqgF family
TIGR00251;TIGR00251: TIGR00251 family protein
TIGR00252;TIGR00252: TIGR00252 family protein
TIGR00253;RNA_bind_YhbY: putative RNA-binding protein, YhbY family
TIGR00254;GGDEF: diguanylate cyclase (GGDEF) domain
TIGR00255;TIGR00255: TIGR00255 family protein
TIGR00256;TIGR00256: D-tyrosyl-tRNA(Tyr) deacylase
TIGR00257;IMPACT_YIGZ: uncharacterized protein, YigZ family
TIGR00258;TIGR00258: inosine/xanthosine triphosphatase
TIGR00259;thylakoid_BtpA: membrane complex biogenesis protein, BtpA family
TIGR00260;thrC: threonine synthase
TIGR00261;traB: TraB family protein
TIGR00262;trpA: tryptophan synthase, alpha subunit
TIGR00263;trpB: tryptophan synthase, beta subunit
TIGR00264;TIGR00264: alpha-NAC homolog
TIGR00266;TIGR00266: TIGR00266 family protein
TIGR00267;TIGR00267: TIGR00267 family protein
TIGR00268;TIGR00268: TIGR00268 family protein
TIGR00269;TIGR00269: TIGR00269 family protein
TIGR00270;TIGR00270: TIGR00270 family protein
TIGR00271;TIGR00271: uncharacterized hydrophobic domain
TIGR00272;DPH2: diphthamide biosynthesis protein 2
TIGR00273;TIGR00273: iron-sulfur cluster-binding protein
TIGR00274;TIGR00274: N-acetylmuramic acid 6-phosphate etherase
TIGR00275;TIGR00275: flavoprotein, HI0933 family
TIGR00276;TIGR00276: epoxyqueuosine reductase
TIGR00277;HDIG: uncharacterized domain HDIG
TIGR00278;TIGR00278: putative membrane protein insertion efficiency factor
TIGR00279;L10e: ribosomal protein L10.e
TIGR00280;L37a: ribosomal protein L37a
TIGR00281;TIGR00281: segregation and condensation protein B
TIGR00282;TIGR00282: metallophosphoesterase, MG_246/BB_0505 family
TIGR00283;arch_pth2: peptidyl-tRNA hydrolase
TIGR00284;TIGR00284: dihydropteroate synthase-related protein
TIGR00285;TIGR00285: DNA-binding protein Alba
TIGR00286;TIGR00286: arginine decarboxylase, pyruvoyl-dependent
TIGR00287;cas1: CRISPR-associated endonuclease Cas1
TIGR00288;TIGR00288: TIGR00288 family protein
TIGR00289;TIGR00289: TIGR00289 family protein
TIGR00290;MJ0570_dom: MJ0570-related uncharacterized domain
TIGR00291;RNA_SBDS: rRNA metabolism protein, SBDS family
TIGR00292;TIGR00292: thiazole biosynthesis enzyme
TIGR00293;TIGR00293: prefoldin, alpha subunit
TIGR00294;TIGR00294: GTP cyclohydrolase
TIGR00295;TIGR00295: TIGR00295 family protein
TIGR00296;TIGR00296: uncharacterized protein, PH0010 family
TIGR00297;TIGR00297: TIGR00297 family protein
TIGR00298;TIGR00298: 2-phosphosulfolactate phosphatase
TIGR00299;TIGR00299: TIGR00299 family protein
TIGR00300;TIGR00300: TIGR00300 family protein
TIGR00302;TIGR00302: phosphoribosylformylglycinamidine synthase, purS protein
TIGR00303;TIGR00303: TIGR00303 family protein
TIGR00304;TIGR00304: TIGR00304 family protein
TIGR00305;TIGR00305: putative toxin-antitoxin system toxin component, PIN family
TIGR00306;apgM: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase, archaeal form
TIGR00307;S8e: ribosomal protein S8.e
TIGR00308;TRM1: N2,N2-dimethylguanosine tRNA methyltransferase
TIGR00309;V_ATPase_subD: V-type ATPase, D subunit
TIGR00310;ZPR1_znf: ZPR1 zinc finger domain
TIGR00311;aIF-2beta: putative translation initiation factor aIF-2, beta subunit
TIGR00312;cbiD: cobalamin biosynthesis protein CbiD
TIGR00313;cobQ: cobyric acid synthase CobQ
TIGR00314;cdhA: CO dehydrogenase/acetyl-CoA synthase complex, epsilon subunit
TIGR00315;cdhB: CO dehydrogenase/acetyl-CoA synthase complex, epsilon subunit
TIGR00316;cdhC: CO dehydrogenase/CO-methylating acetyl-CoA synthase complex, beta subunit
TIGR00317;cobS: cobalamin 5'-phosphate synthase
TIGR00318;cyaB: putative adenylyl cyclase CyaB
TIGR00319;desulf_FeS4: desulfoferrodoxin FeS4 iron-binding domain
TIGR00320;dfx_rbo: desulfoferrodoxin
TIGR00321;dhys: deoxyhypusine synthase
TIGR00322;diphth2_R: diphthamide biosynthesis enzyme Dph1/Dph2 domain
TIGR00323;eIF-6: putative translation initiation factor eIF-6
TIGR00324;endA: tRNA-intron endonuclease
TIGR00325;lpxC: UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase
TIGR00326;eubact_ribD: riboflavin biosynthesis protein RibD
TIGR00327;secE_euk_arch: protein translocase SEC61 complex gamma subunit, archaeal and eukaryotic
TIGR00328;flhB: flagellar biosynthetic protein FlhB
TIGR00329;gcp_kae1: metallohydrolase, glycoprotease/Kae1 family
TIGR00330;glpX: fructose-1,6-bisphosphatase, class II
TIGR00331;hrcA: heat-inducible transcription repressor HrcA
TIGR00332;neela_ferrous: desulfoferrodoxin ferrous iron-binding domain
TIGR00333;nrdI: nrdI protein
TIGR00334;5S_RNA_mat_M5: ribonuclease M5
TIGR00335;primase_sml: putative DNA primase, eukaryotic-type, small subunit
TIGR00336;pyrE: orotate phosphoribosyltransferase
TIGR00337;PyrG: CTP synthase
TIGR00338;serB: phosphoserine phosphatase SerB
TIGR00339;sopT: sulfate adenylyltransferase
TIGR00340;zpr1_rel: zinc finger protein ZPR1 homolog
TIGR00341;TIGR00341: TIGR00341 family protein
TIGR00342;TIGR00342: tRNA sulfurtransferase ThiI
TIGR00343;TIGR00343: pyridoxal 5'-phosphate synthase, synthase subunit Pdx1
TIGR00344;alaS: alanine--tRNA ligase
TIGR00345;GET3_arsA_TRC40: transport-energizing ATPase, TRC40/GET3/ArsA family
TIGR00346;azlC: azaleucine resistance protein AzlC
TIGR00347;bioD: dethiobiotin synthase
TIGR00348;hsdR: type I site-specific deoxyribonuclease, HsdR family
TIGR00350;lytR_cpsA_psr: cell envelope-related function transcriptional attenuator common domain
TIGR00351;narI: respiratory nitrate reductase, gamma subunit
TIGR00353;nrfE: cytochrome c-type biogenesis protein CcmF
TIGR00354;polC: DNA polymerase II, large subunit DP2
TIGR00355;purH: phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
TIGR00357;TIGR00357: methionine-R-sulfoxide reductase
TIGR00358;3_prime_RNase: VacB and RNase II family 3'-5' exoribonucleases
TIGR00359;cello_pts_IIC: PTS system, cellobiose-specific IIC component
