	HIDRoot12	MorexRoot12	HIDRoot11	RumRhizo12	RumRoot11	MorexRoot11	RumRoot10	HIDRhizo12	MorexRhizo10	HIDRhizo11	RumRhizo10	HIDRoot10	Bulk10	MorexRhizo11	MorexRhizo12	HIDRhizo10	MorexRoot10	RumRhizo11	RumRoot12	Bulk11	Bulk12	MorexRhizo20	RumRhizo21	RumRoot22	MorexRhizo22	RumRhizo20	MorexRhizo23	HIDRhizo21	MorexRoot23	MorexRoot20	Bulk23	Bulk20	RumRoot20	HIDRoot20	Bulk22	MorexRoot22	HIDRhizo22	HIDRoot21	HIDRoot22	RumRhizo22	RumRoot21	HIDRhizo20
HIDRoot12	0.0	0.0456536493636	0.0444315642972	0.049701563393	0.0469943245701	0.0357982185353	0.0409449760059	0.0534321180556	0.0495783227513	0.0487413273154	0.0683413371813	0.0387351203916	0.0694366378066	0.0465945887446	0.0410580188125	0.0599997024048	0.0395849198826	0.0448767403315	0.084317989418	0.0702520703934	0.072636282142	0.0572305876068	0.0654465010998	0.0617863010075	0.0465044476446	0.0639573057125	0.0640115820851	0.0633868636266	0.0468238189373	0.040125641605	0.121543496891	0.107975827025	0.0387860822511	0.0671748600752	0.125286798864	0.0524303709455	0.0683061856662	0.0360088868241	0.0405363470577	0.0672019968787	0.0521568322485	0.0620127128427
MorexRoot12	0.0456536493636	0.0	0.0656957618488	0.0667473558318	0.0597310121059	0.0257647254494	0.0566447382599	0.0662085275901	0.070503041184	0.0655554851337	0.0948902981163	0.0403811567182	0.090157365051	0.0670050590851	0.060072669336	0.0642572611962	0.063682021263	0.0610021691305	0.0720218558559	0.0882402260646	0.0821374522293	0.0797140913028	0.0851799245875	0.0496556886338	0.0658604624382	0.0739989436555	0.0879983288923	0.0570428474717	0.0660607787542	0.0596109884261	0.13264115506	0.120670051975	0.0489154410904	0.0917818777814	0.135381002087	0.0782860712887	0.0434362964783	0.0548192608218	0.0496960355787	0.0549999099099	0.0679329470478	0.0753044389844
HIDRoot11	0.0444315642972	0.0656957618488	0.0	0.0406376823219	0.0401532053895	0.0544238412355	0.0404422456546	0.065268334843	0.0506535755694	0.0432393925082	0.0535691581028	0.0466199546617	0.0682401311534	0.0395782072276	0.0445374056182	0.07056178805	0.0375207716876	0.0429039066378	0.0954568768116	0.0716431677019	0.0720345915259	0.0523584071906	0.0396630890734	0.0666791800675	0.0445735840346	0.0652579771555	0.0477564002858	0.0821639172321	0.0367364248244	0.0357175460313	0.119345468105	0.108540510591	0.0515641567852	0.0401396778418	0.126772453355	0.0394969927536	0.0861599841897	0.0339881965359	0.0483334160965	0.0719053727453	0.0440186471692	0.0533933860343
RumRhizo12	0.049701563393	0.0667473558318	0.0406376823219	0.0	0.0596109930648	0.0563270567668	0.0525342568444	0.0484158223782	0.0362190399796	0.0298568453469	0.0479339483066	0.046810026738	0.0494839790958	0.0395971848739	0.0307303900662	0.0474057826406	0.0557221485415	0.0434358364109	0.104721909982	0.0497351152556	0.047553854525	0.0351725584465	0.0444654166917	0.0790938063146	0.0262446707349	0.0449324721291	0.0480480930682	0.075702455411	0.0469147874085	0.0454382730698	0.090732186268	0.0793177043741	0.0601111153552	0.0615133873462	0.0986953484561	0.0538456864683	0.0812406042781	0.051500731316	0.0606773138522	0.0758675533798	0.0643007530874	0.0410652928444
RumRoot11	0.0469943245701	0.0597310121059	0.0401532053895	0.0596109930648	0.0	0.051233413108	0.0434502452762	0.0769640104167	0.0545378229167	0.0553807498003	0.0562646695076	0.0422626779746	0.0722278099174	0.0431050730519	0.0521800102881	0.070250603847	0.0399600299911	0.0370783783667	0.0651863177083	0.0815730876359	0.0914000970342	0.071120010016	0.0669897015449	0.0656852322346	0.061813765121	0.0795959287606	0.069101640625	0.0763534871749	0.0609396975652	0.0527485453737	0.139562409329	0.127834930288	0.0443183248782	0.0552915464985	0.146028066349	0.0556685258152	0.0793038191288	0.0455148799543	0.0396767734772	0.0550297380845	0.0439113573516	0.0761819416261
MorexRoot11	0.0357982185353	0.0257647254494	0.0544238412355	0.0563270567668	0.051233413108	0.0	0.0458164953924	0.0620080921631	0.0599839553975	0.0592224609313	0.0815321341012	0.0354939489922	0.0759181264725	0.0534178879944	0.051470518593	0.0617122242188	0.0514710177779	0.0513166295843	0.07396586727	0.0741743081982	0.0718965337061	0.0693490705128	0.07632019396	0.0520477527428	0.0560361989126	0.0682894846231	0.0722780683194	0.0497799160411	0.0573116192433	0.0500209038502	0.12306736285	0.113548586727	0.0390504851031	0.0799348814262	0.128620801608	0.0660566024002	0.0486941014672	0.046356349851	0.042408589935	0.0553258149679	0.0549938848921	0.068049042722
RumRoot10	0.0409449760059	0.0566447382599	0.0404422456546	0.0525342568444	0.0434502452762	0.0458164953924	0.0	0.0714206059662	0.0509708560354	0.0559200184688	0.0611047844559	0.0436771561817	0.0724853636638	0.0349812231954	0.053670748397	0.068677746141	0.0299158350522	0.042992945247	0.0818228803987	0.0809979445327	0.0742741629811	0.065852073324	0.0644138607264	0.0644259120284	0.0568084718948	0.0730403151078	0.0681542841545	0.070501683406	0.0571005244278	0.0360820536527	0.127126184616	0.11588770943	0.045770653881	0.05522983829	0.131935329936	0.0559678618374	0.0814905486761	0.0305569192124	0.0356770495978	0.0625224479553	0.0478532321518	0.0632638648948
HIDRhizo12	0.0534321180556	0.0662085275901	0.065268334843	0.0484158223782	0.0769640104167	0.0620080921631	0.0714206059662	0.0	0.0605050327381	0.0448787927094	0.0804066054293	0.0520662810086	0.0671849606864	0.0591200599747	0.0405881597222	0.0403682141245	0.0737488489007	0.0642272999156	0.1194265625	0.0598132421066	0.0586186361023	0.0551975988248	0.0667041296036	0.0800177021499	0.0521801982527	0.031735668903	0.0764137632042	0.0478660711705	0.0646195354039	0.0620748330615	0.0848807382908	0.0684694193376	0.068983641324	0.0929541453313	0.0825770608301	0.079426879529	0.0637909122475	0.0662142718496	0.0725605581994	0.0903751920963	0.0808742633393	0.0463242113095
MorexRhizo10	0.0495783227513	0.070503041184	0.0506535755694	0.0362190399796	0.0545378229167	0.0599839553975	0.0509708560354	0.0605050327381	0.0	0.0496202825194	0.0410064285714	0.0589554323911	0.0438724600551	0.0370934502165	0.0405494268078	0.0653399300327	0.0401487093207	0.0513733520126	0.0861037857143	0.0503470331263	0.0622642496209	0.0532329349817	0.0541742086677	0.0907720482714	0.0387821632104	0.066826291364	0.0551486552649	0.0838925893201	0.0568253447268	0.0583468264701	0.108693617657	0.0998835970696	0.0643013766234	0.063543475043	0.114741096635	0.0519254037267	0.0870077619048	0.0555096736353	0.0571428143582	0.0758927519699	0.0744899818431	0.0607305844156
HIDRhizo11	0.0487413273154	0.0655554851337	0.0432393925082	0.0298568453469	0.0553807498003	0.0592224609313	0.0559200184688	0.0448787927094	0.0496202825194	0.0	0.0577447578662	0.0422818176693	0.0572079726982	0.0386597655699	0.0279042917998	0.0376426640985	0.0575361303999	0.0430665043334	0.100334083067	0.0615020135733	0.0616231765735	0.0465015997993	0.0423899186919	0.069127508206	0.0382412541224	0.0434870790058	0.0590290503832	0.0711208251307	0.0591681399087	0.046249197867	0.0936134163149	0.0846198118293	0.0561632100328	0.0738518168521	0.103497119541	0.0696538352549	0.0739536419789	0.0514796234707	0.0644371948233	0.068821232905	0.0599726637093	0.0472481699238
RumRhizo10	0.0683413371813	0.0948902981163	0.0535691581028	0.0479339483066	0.0562646695076	0.0815321341012	0.0611047844559	0.0804066054293	0.0410064285714	0.0577447578662	0.0	0.0763405311943	0.0572792341598	0.0467341038961	0.0539509726899	0.0772095586916	0.0517033807267	0.0548506904403	0.0898841818182	0.0686812523998	0.0742856050955	0.0626324096737	0.0534715509023	0.100724155666	0.0515050808895	0.0790137092964	0.0543294562527	0.104537256963	0.0685462766313	0.0650203330098	0.118916456757	0.107276081585	0.0782240822511	0.0536024461482	0.126385501466	0.0578116824769	0.105977212121	0.0687099305248	0.0720064836179	0.0884222515806	0.0741076093307	0.0671568917749
HIDRoot10	0.0387351203916	0.0403811567182	0.0466199546617	0.046810026738	0.0422626779746	0.0354939489922	0.0436771561817	0.0520662810086	0.0589554323911	0.0422818176693	0.0763405311943	0.0	0.0794828488089	0.0463533460657	0.0414174241324	0.0478638987239	0.0540785270041	0.0485067731261	0.088082956328	0.078590768592	0.0718271855308	0.0585964159125	0.0616562503755	0.0496604486851	0.0474361473607	0.0509979144385	0.0688875006904	0.0510325510803	0.0537616990912	0.0403840969037	0.116526807252	0.102097859729	0.0359114553094	0.0708519373752	0.11994685527	0.0660297122762	0.0564115472371	0.0407154115038	0.0464222647195	0.0581282383719	0.0484700511676	0.0502216373822
Bulk10	0.0694366378066	0.090157365051	0.0682401311534	0.0494839790958	0.0722278099174	0.0759181264725	0.0724853636638	0.0671849606864	0.0438724600551	0.0572079726982	0.0572792341598	0.0794828488089	0.0	0.0547882880756	0.0514790728837	0.0634715180356	0.0672569499824	0.0635177507876	0.104133404959	0.0348015594682	0.0499772674633	0.0628062330473	0.0689892093045	0.107734445262	0.054279322514	0.0703386342625	0.0674203744228	0.0940889643147	0.0799751214318	0.077246678333	0.0882218751885	0.0885488923501	0.0852388961039	0.084034207906	0.0997288643029	0.0777802389508	0.0984443471074	0.0784153956864	0.0797768846751	0.0867772013794	0.0905259058208	0.0708591420701
MorexRhizo11	0.0465945887446	0.0670050590851	0.0395782072276	0.0395971848739	0.0431050730519	0.0534178879944	0.0349812231954	0.0591200599747	0.0370934502165	0.0386597655699	0.0467341038961	0.0463533460657	0.0547882880756	0.0	0.0353720389076	0.0589171470767	0.0375679694713	0.0385256805625	0.0867473246753	0.0618324223602	0.0644639821325	0.0536504541292	0.0508564212754	0.0710679265255	0.0444010729996	0.0603546031257	0.0559517797695	0.0744832707755	0.0535985762091	0.0418183731571	0.114875991563	0.104790746254	0.0494599350649	0.057178480676	0.120349308756	0.0528632072276	0.0821877575758	0.0413571251188	0.0471523106335	0.062251824722	0.0503434980846	0.0530419480519
